■頭部パーツ
○名称	チップ容量	重量	装甲	射撃補正	索敵	ロックオン	DEF回復	条件	素材・勲章	GP
ラピッドネイル	200	実弾	440	38x18	600	C-	2.2	ネイルガンTFを所持	ベースガード/銀x5 鉛板x20 超剛性メタルx2 カロラチップx1	250
スパージネイル	160	実弾(3点射)	910	9x25	360	A	1	ラピッドネイルを所持	ベースガード/銀x10 チタン鋼x20 複層重合金属x1 メタモチップx3	350
バンシーズロアー	120	実弾	540	16x30	480	C+	1	BB.NET専用アイテム	「『BORDER BREAK UNION』VS『PSO2』コラボキャンペーン」	なし

●ハガード系統
○名称	重量	属性	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
ハガードM50	200	実弾(単射)	2100	6x9	120	B	1.3	アッパーネイルを所持	超剛性メタルx3 黄金片x10	50
ハガード・カスタム	190	実弾(単射)	1850	12x6	120	A	1.8	ハガードM50を所持	複層重合金属x1 銀片x15 メタモチップx2	150
ハガードRF	220	実弾(3点射)	1030	18x10	300	B+	2.2	ハガード・カスタムを所持	?ウーツ重鋼x5 ソノチップx5 カロラチップx2	250
ハガード・タフ	240	実弾(単射)	2900	6x12	90	B-	1.6	ハガードRFを所持	精密射撃章x3 複層重合金属x3 ソノチップx10 メタモチップx1	350
ハガード・ヴァリ	240	実弾(一斉発射)	970	6x40	900	D	1.2	ハガード・タフを所持	精密射撃章x7 超剛性メタルx5 銅片x30 カロラチップx3	500

●トグルショット系統(タイプA)
○名称	重量	属性	銃弾	威力	総弾数	連射速度	拡散率	リロード時間	条件	素材・勲章	GP
トグルショット	280	実弾(単射)	散弾	460x10	5x10	50	大	2.8	スマックショットSP、アッパーネイルを所持	隕鉄塊x20 チタン鋼x10 超剛性メタルx1	150
トグルショットC	250	実弾(単射)	散弾	560x7	8x8	50	中	2.5	トグルショットを所持	鉛板x25 ウーツ重鋼x10 ロゼンジ重回路x2	250
トグル・トライス	230	実弾(3点射)	散弾	550x4	3x40	720	中	1.0	トグルショットCを所持	施設破壊章x2 超剛性メタルx5 ハニカム回路x2 高磁性アグミナx3	350
トグル・ランページ	320	実弾(単射)	散弾	470x12	3x15	50	特大	2.5	トグル・トライスを所持	施設破壊章x5 複層重合金属x2 破損ＩＣx30 ロゼンジ重回路x15	500

●トグルショット系統(タイプB)
○名称	重量	属性	銃弾	威力	総弾数	連射速度	連射精度	リロード時間	条件	素材・勲章	GP
トグルショット	280	実弾(単射)	単発	2800	5x10	50	B+	2.8	スマックショットSP、アッパーネイルを所持	隕鉄塊x20 チタン鋼x10 超剛性メタルx1	150
トグルショットC	250	実弾(単射)	単発	2300	8x8	50	A+	2.5	トグルショットを所持	鉛板x25 ウーツ重鋼x10 ロゼンジ重回路x2	250
トグル・トライス	230	実弾(3点射)	単発	1500	3x40	720	B-	1.0	トグルショットCを所持	施設破壊章x2 超剛性メタルx5 ハニカム回路x2 高磁性アグミナx3	350
トグル・ランページ	320	実弾(単射)	単発	3600	3x15	50	B	2.5	トグル・トライスを所持	施設破壊章x5 複層重合金属x2 破損ＩＣx30 ロゼンジ重回路x15	500

●SLS系統(タイプA)
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	条件	素材・勲章	GP
SLS－ネメシス	320	ニュード(単射)	740x5	8x10	60	中	3.2	?	隕鉄塊x20 ニュード卵x10 ニュード胚x20	150
SLS－ネメシスβ	340	ニュード(単射)	350x12	7x9	60	大	3.8	SLS－ネメシスを所持	支援章x10 鉛板x30 ニュード卵x10 ニュード素子x25	250
SLS－ネメシスγ	290	ニュード(三点射)	480x4	9x16	300	中	2.1	SLS－ネメシスβを所持	支援章x20 チタン鋼x20 超剛性メタルx3 ニュード集積体x3	350
SLS－ディザスター	360	ニュード(単射)	630x6	6x11	60	小	3.3	SLS－ネメシスγを所持	支援章x30 隕鉄塊x15 複層重合金属x4 ニュード結晶体x2	500

●SLS系統(タイプB)
○名称	重量	属性	威力	総弾数	連射速度	拡散率	リロード時間	条件	素材・勲章	GP
SLS－ネメシス	320	ニュード	330x5	8x10	200	中	3.2	?	隕鉄塊x20 ニュード卵x10 ニュード胚x20	150
SLS－ネメシスβ	340	ニュード	180x12	7x9	200	大	3.8	SLS－ネメシスを所持	支援章x10 鉛板x30 ニュード卵x10 ニュード素子x25	250
SLS－ネメシスγ	290	ニュード(一斉発射)	220x4	9x16	600	中	2.1	SLS－ネメシスβを所持	支援章x20 チタン鋼x20 超剛性メタルx3 ニュード集積体x3	350
SLS－ディザスター	360	ニュード	310x6	6x11	200	小	3.3	SLS－ネメシスγを所持	支援章x30 隕鉄塊x15 複層重合金属x4 ニュード結晶体x2	500

◆副武器
●ヘヴィマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
ヘヴィマイン	230	爆発	10000	1x4	12	1.0	初期装備	なし	0
ヘヴィマインS	210	爆発	7000	1x5	20	1.0	ヘヴィマインを所持	鉛板x5 銅片x12	10
ヘヴィマインV	290	爆発	33000	1x3	10	1	ヘヴィマインSを所持	工作章x3 ウーツ重鋼x10 メタモチップx1	150

●指向性地雷系統
○名称	重量	属性	威力	総弾数	拡散率	リロード時間	条件	素材・勲章	GP
46型指向性地雷	180	実弾	330x20	1x4	大	1	44型浮遊機雷Sを所持	チタン鋼x10 超剛性メタルx2 黄金片x5	150
46型指向性地雷S	190	実弾	300x24	1x5	特大	1.0	46型指向性地雷を所持	防衛章x5 複層重合金属x2 銅片x15 ペンタクル回路x10	250
49型指向性地雷	220	実弾	470x16	1x3	中	1.0	46型指向性地雷Sを所持	防衛章x15 鉛板x30 カロラチップx3 ハニカム回路x20	350

●ボム系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
リモートボム	270	爆発	14000	1x4	18	1	クラスC2到達。または累計バトル時間17000秒で支給。	なし	0
リムペットボムS	230	爆発	9000	1x5	25	1	リモートボムを所持	鉛板x20 銀片x25 ソノチップx3	150
リムペットボムV	330	爆発	25000	1x3	16	1.0	リムペットボムSを所持	工作章x5 超剛性メタルx5 銅片x20	250

●浮遊機雷系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
44型浮遊機雷	150	爆発	7500	1x4	18	1	ヘヴィマインSを所持	チタン鋼x5 ニュード素子x10 ニュード集積体x1	50
44型浮遊機雷S	170	爆発	5600	1x5	24	1	44型浮遊機雷を所持	トリックスター/銀x3 鉛板x15 複層重合金属x1 ニュード胚x10	150
45型浮遊機雷	210	爆発	11000	1x3	15	1.0	44型浮遊機雷Sを所持	トリックスター/銀x7 隕鉄塊x30 ニュード集積体x3 ニュード融素子x1	250

●ホバーマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	滑走速度	リロード時間	条件	素材・勲章	GP
ホバーマイン	190	爆発	7000	1x5	16	C+	1	リムペットボムSを所持	ウーツ重鋼x5 ニュード卵x10 ソノチップx3	50
ホバーマインS	220	爆発	6200	1x6	14	A-	1	ホバーマインを所持	隕鉄塊x15 ニュード集積体x3 黄金片x5	150
ホバーマインV	240	爆発	9500	1x3	20	D	1.2	ホバーマインSを所持	アンチトラップ/銀x3 ウーツ重鋼x3 ニュード融素子x2 銅片x20	250
ホバーマインX	200	爆発	7600	1x4	22	A-	1.2	ホバーマインVを所持	アンチトラップ/銀x7 鉛板x15 ニュード群体x10 カロラチップx3	350

●インパクトマイン系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
インパクトマイン	170	爆発	6900	1x4	19	1.0	?	銅片x25 破損ＩＣx25 ハニカム回路x10	250
インパクトマインS	190	爆発	5100	1x5	22	1.0	インパクトマイン	プラントガード/銀x15 メタモチップx5 高磁性アグミナx5 誘電ヘリックスx1	350

●デトネーター系統
○名称	重量	属性	威力	総弾数	爆発半径	リロード時間	条件	素材・勲章	GP
N60デトネーター	260	爆発(単射)	5600	2x4	17	3.2	累計バトル時間59000秒。または支援スコア4500pt以上。	ニュード素子x15 銅片x15 メタモチップx2	150
N60デトネーターR	290	爆発(単射)	3900	5x2	20	3.5	N60デトネーターを所持	ニュード卵x25 ニュード集積体x1 カロラチップx2	250
N70デトネーター	310	爆発(単射)	9000	1x5	15	3.0	N60デトネーターRを所持	支援章x10 ニュード融素子x3 黄金片x20 メタモチップx1	350
N90デトネーターU	340	爆発(単射)	3500	5x3	18	4	N70デトネーターを所持	支援章x20 ニュード素子x20 ニュード融素子x2 カロラチップx2	500

●バインドマイン系統
○名称	重量	属性	威力	総弾数	効果持続	リロード時間	条件	素材・勲章	GP
バインドマイン	200	ニュード	3500	1x4	1.5	1	?	ニュード卵x15 ペンタクル回路x10 高磁性アグミナx2	150
バインドマインS	180	ニュード	2000	1x5	2.0	1.0	バインドマインを所持	バトルアシスト/金x3 ニュード素子x25 破損ＩＣx30 モノリスＮＳＩx1	250
バインドマインV	230	ニュード	5000	1x3	2.5	1.0	バインドマインSを所持	バトルアシスト/金x5 ニュード胚x30 ニュード融素子x3 ロゼンジ重回路x5	350

●ディスクシューター系統
○名称	重量	属性	威力	総弾数	連射速度	移動低下	効果時間	リロード時間	条件	素材・勲章	GP
ディスクシューター	210	実弾(単射)	1700	2x9	150	LV1	1.5	3	支援に移行したため条件不明	ニュード素子x10 ニュード群体x5 メタモチップ x1	150
ディスクシューターR	220	実弾(単射)	900	5x5	150	LV1	1	4.2	ディスクシューターを所持	バトルサポート/銅x5 ニュード融素子x1 カロラチップx1 ロゼンジ重回路x5	250
ディスクシューターV	250	実弾(単射)	2600	1x12	(単発)	LV2	2.0	4.0	ディスクシューターRを所持	バトルサポート/銅x15 ニュード集積体x3 ソノチップx15 高磁性アグミナ x5	350

◆補助装備
●索敵センサー系統
○名称	重量	索敵時間	索敵範囲	所持数	耐久力	条件	素材・勲章	GP
索敵センサー	310	5	60	2	4000	クラスC2で支給	なし	0
小型索敵センサー	270	5	45	3	4000	索敵センサーを所持	ニュード胚x15 ニュード集積体x3 銅片x10	150
広域索敵センサー	330	5	95	1	8000	小型索敵センサーを所持	戦友章x7 ニュード卵x15 ニュード群体x5 メタモチップx3	250
軽量索敵センサー	250	5	55	2	8000	広域索敵センサーを所持	戦友章x15 ニュード卵x30 銀片x30 カロラチップx1	500

●滞空索敵弾系統
○名称	重量	索敵時間	索敵範囲	所持数	滞空時間	射程距離	耐久力	条件	素材・勲章	GP
滞空索敵弾	370	5	65	3	50	350	12000	レーダーユニットを所持	ニュード群体x5 メタモチップx1 高磁性アグミナx1	150
小型滞空索敵弾	360	5	55	3	60	450	16000	滞空索敵弾を所持	プライムキーパーx5 ニュード集積体x5 銅片x20 ペンタクル回路x15	250
広域滞空索敵弾	420	5	80	2	65	250	?	小型滞空索敵弾を所持	プライムキーパーx10 ニュード素子x15 カロラチップx2 高磁性アグミナx5	500

●ND索敵センサー系統
○名称	重量	索敵時間	索敵範囲	所持数	耐久力	条件	素材・勲章	GP
ND索敵センサー	340	10	150	2	8000	広域索敵センサーを所持	ニュード胚x10 ソノチップx5 高磁性アグミナx2	150
小型ND索敵センサー	310	10	100	3	8000	ND索敵センサーを所持	戦闘勝利章x５ ニュード卵x30 メタモチップx5 破損ＩＣx25	250
広域ND索敵センサー	370	10	220	1	8000	小型ND索敵センサーを所持	戦闘勝利章x10 ニュード集積体x5 黄金片x20 モノリスＮＳＩx2	500

●センサー投射器(タイプA)
○名称	重量	索敵範囲	所持数	索敵時間	耐久力	条件	素材・勲章	GP
Vセンサー投射器	380	55	2	5	4000	?	ニュード卵x30 銅片x10 銀片x20	250
小型Vセンサー投射器	330	40	3	5	4000	Vセンサー投射器を所持	戦友章x10 黄金片x20 カロラチップx2 ルミノチップx1	350
広域Vセンサー投射器	400	85	1	5	4000	小型Vセンサー投射器を所持	戦友章x20 ニュード集積体x10 ニュード結晶体x3 メタモチップx3	500

●センサー投射器(タイプB)
○名称	重量	索敵範囲	所持数	索敵時間	継続時間	耐久力	条件	素材・勲章	GP
Vセンサー投射器	380	160	2	5	12	4000	?	ニュード卵x30 銅片x10 銀片x20	250
小型Vセンサー投射器	330	130	3	5	8	4000	Vセンサー投射器を所持	戦友章x10 黄金片x20 カロラチップx2 ルミノチップx1	350
広域Vセンサー投射器	400	220	1	5	25	4000	小型Vセンサー投射器を所持	戦友章x20 ニュード集積体x10 ニュード結晶体x3 メタモチップx3	500

●スタナー系統
○名称	重量	威力	属性	効果持続	攻撃範囲	充填時間	条件	素材・勲章	GP
スタナーJ	320	1800/2700/3600	ニュード	最大1秒	Lv2	2	累計バトル時間35000秒以上。または支援兵装の累計スコア3000pt以上	ウーツ重鋼x5 超剛性メタルx1 ニュード胚x15	150
スタナーJ2	350	1200/3000/4800	ニュード	最大2秒	Lv1	4	スタナーJを所持	COMBO/銀x5 隕鉄塊x10 超剛性メタルx5 ニュード群体x2	250
スタナーK	370	2000/3000/4000	ニュード	最大1秒	Lv3	3	スタナーJ2を所持	COMBO/銀x15 チタン鋼x15 複層重合金属x2 ニュード集積体x3	350

●弾薬BOX系統
○名称	重量	所持数	リロード時間	条件	素材・勲章	GP
弾薬BOX	300	3	1	累計バトル時間6250秒。または支援スコア1000pt以上。	鉛板x5 ニュード卵x5	10
自律型弾薬BOX	320	3	1.5	弾薬BOXを所持	弾薬補給/銅x3 隕鉄塊x20 ニュード胚x20 ハニカム回路x5	150

◆特別装備
●リペアユニット系統
○名称	重量	最大持続時間	修理速度	容量	効果半径	チャージ時間	条件	素材・勲章	GP
リペアユニット	560	10	1000	10000	40	35	初期装備	なし	0
リペアユニットβ	600	8	1000	8000	80	25	なし	ニュード卵x30 ニュード群体x10 ソノチップx7	150
リペアユニットγ	580	5	1500	7500	40	30	リペアユニットβを所持	再起章x7 ニュード胚x25 メタモチップx5 カロラチップx2	250
リペアユニットδ	640	12	1300	15600	60	95	リペアユニットγを所持	再起章x15 ニュード融素子x3 銀片x30 モノリスＮＳＩx1	350
Rユニットβ/CV	600	8	1000	8000	80	25	BB.NET専用アイテム	投票バトル！報酬	0

●リペアポスト系統
○名称	重量	最大持続時間	修理速度	容量	効果範囲	チャージ時間	条件	素材・勲章	GP
リペアポスト	480	80	1200	24000	10	20	累計バトル時間43000秒以上。または支援兵装の累計スコア3500pt以上	ニュード卵x15 銅片x5 メタモチップx3	150
リペアポストβ	520	60	1200	24000	18	35	リペアポストを所持	戦友章x5 ニュード胚x25 ニュード群体x10 カロラチップx1	250
リペアポストγ	530	40	1800	16200	9	25	リペアポストβを所持	戦友章x10 ニュード素子x20 ニュード融素子x2 ソノチップx10	350

●リペアショット系統
○名称	重量	連続使用	修理量	修理速度	最大発射回数	有効距離	チャージ時間	条件	素材・勲章	GP
リペアショット	490	30	330x8	4000	5	40	40	リペアユニットβを所持	ニュード卵x10 ニュード集積体x2 ソノチップx5	150
リペアショットβ	540	20	350x12	7000	4	40	45	リペアショットを所持	ニュード胚x20 銅片x30 メタモチップx5	250
リペアショットγ	510	25	490x4	3067	9	80	35	リペアショットβを所持	リペアラー/金x10 ニュード群体x10 黄金片x20 カロラチップx2	350
リペアショットδ	520	30	180x3	2550	34	60	40	リペアショットγを所持	リペアラー/金x20 ニュード融素子x3 銀片x25 高磁性アグミナx2	500

●リペアフィールド系統
○名称	重量	最大持続時間	修理速度	容量	効果範囲	チャージ時間	条件	素材・勲章	GP
リペアフィールド	530	40	800	12800	12	45	累計バトル時間67000秒。またはスコア20000pt以上。	ニュード胚x25 ニュード集積体x2	250
リペアフィールドβ	570	35	800	9600	18	50	リペアフィールドを所持	プラントガード/銀x5 ニュード融素子x2 破損ＩＣx10 ロゼンジ重回路x2	350
リペアフィールドγ	600	20	1200	9600	8	40	リペアフィールドβを所持	プラントガード/銀x10 ニュード卵x25 ニュード群体x15 モノリスＮＳＩx2	500

●リペアセントリー系統
○名称	重量	最大発射回数	修理速度	修理量	連射速度	有効距離	チャージ時間	条件	素材・勲章	GP
リペアセントリー	450	63	1200	240	300	60	25	リペアポストβを所持	ニュード群体x5 銀片x15 メタモチップx1	150
リペアセントリーβ	490	43	2400	400	360	60	30	リペアセントリーを所持	再起章x5 ニュード集積体x2 ソノチップ x10 カロラチップx1	250
リペアセントリーγ	460	138	950	170	300	100	20	リペアセントリーβを所持	再起章x15 ニュード融素子x1 黄金片x25 モノリスＮＳＩx2	350

●リペアインジェクター系統
○名称	重量	最大持続時間	修理速度	容量	効果半径	チャージ時間	条件	素材・勲章	GP
リペアインジェクター	500	30	1000	8000	40	20	?	ニュード素子x10 ニュード集積体x2 ペンタクル回路x10	250
Rインジェクターβ	480	20	1000	6000	60	15	リペアインジェクターを所持	最優秀貢献章x1 ニュード卵x30 ニュード群体x15 高磁性アグミナx2	350
Rインジェクターγ	580	35	1000	12000	40	30	Rインジェクターβを所持	最優秀貢献章x3 ニュード胚x30 ニュード融素子x3 ロゼンジ重回路x5	500

●ワイヤーユニット系統
○名称	重量	属性	最大持続時間	修理速度	有効距離	チャージ時間	条件	素材・勲章	GP
Rワイヤーユニット	540	ニュード	18	1200	60	15	?	ニュード群体x5 ソノチップx5 破損ＩＣx10	250
Rワイヤーユニットβ	550	ニュード	15	1200	80	12	Rワイヤーユニットを所持	再起章x10 ニュード融素子x1 メタモチップx5 ハニカム回路x10	350
Rワイヤーユニットγ	590	ニュード	10	?	60	10	Rワイヤーユニットβ	再起章x20 ニュード集積体x5 モノリスＮＳＩx3 誘電ヘリックスx1	500

●オートリペアシステム系統
○名称	重量	最大持続時間	修理速度	有効距離	チャージ時間	条件	素材・勲章	GP
オートリペアシステム	490	35	B+	60	35	?	ニュード胚x15 ニュード集積体x2 銀片x15	250
オートリペアβ	510	30	B+	80	30	オートリペアシステムを所持	リペアラー/金x10 ニュード融素子x2 ソノチップx10 ルミノチップx1	350

■チップ
◆特殊機能チップ
○名称	コスト
被ロックオン方向表示	2
被索敵警告	3
カウンター索敵	1
転倒耐性	1
転倒耐性II	2
自動体勢制御	1
被弾時カメラ制御	1
被弾時カメラ制御II	3
状態異常耐性	1
状態異常耐性II	3
アンチブレイク	1
アンチブレイクII	2
アンチブレイクIII	3
大破抑制	1
エナジーバリア	2
エナジーバリアII	4
透過ロックオン維持	1
透過ロックオン維持II	2
強化近距離ロック	2
強化近距離ロックII	4
近距離ロック射撃	1
近距離ロック射撃II	2
近距離ロック射撃III	3
高機能索敵	2
設置物探知	1
設置物探知II	3
高感度索敵	1
高感度索敵II	2
索敵継続延長	1
索敵継続延長II	3
侵攻者接近通知	1
高速充填	2
高速充填II	4
高速冷却	1
高速冷却II	3
高速精密射撃	1
高速精密射撃II	3
高速精密射撃III	6
リペアポッド適性	1
リペアポッド適性II	3
投てき適性	2
投てき適性II	4
移動中射撃補正	1
移動中射撃補正II	3
静止時射撃適性	1
静止時射撃適性II	3
搭乗兵器適性	1
搭乗兵器適性II	2
水中移動適性	1
水中移動適性II	3
リフト適性	1
運搬適性	1
運搬適性II	2
フェイタルアタック	1
フェイタルアタックII	2
プリサイスショット	1
プリサイスショットII	3
プリサイスショットIII	5
補助装備自動補給	1
補助装備自動補給II	2
近接武器適性	1
近接武器適性II	3
砲撃/広域爆撃感知	2
要請兵器ゲージ促進	2
要請兵器ゲージ促進II	4
要請兵器運用適性	1
自機設置物表示	2
オートリロード	1
設置物回収	2
クイックリロード	1
クイックリロードII	3
弾薬奪取	2
弾薬奪取II	4
補修部材奪取	2
補修部材奪取II	4
マーキング	3
ショートダッシュ	2
BAブレイクゲイン	1
BAブレイクゲインII	2
BAブレイクゲインIII	3
バランサー	1
バランサーII	2
対物破壊適性	1
対物破壊適性II	2
対物破壊適性III	3
DEF回復範囲拡大	1
DEF回復範囲拡大II	2
DEF回復範囲拡大III	3
リニアDEF回復	1
リニアDEF回復II	2
リニアDEF回復III	3
対DEF破壊適性	1
対DEF破壊適性II	2
対DEF破壊適性III	3
アンチスタビリティ	1
アンチスタビリティII	2
アンチスタビリティIII	3
体勢制御適性	1
体勢制御適性II	2
DEF連携回復	1
DEF連携回復II	2
自動修復	1

◆機体強化チップ
○名称	コスト	効果
装甲	1	装甲：1(%)上昇
装甲II	2	装甲：2(%)上昇
装甲III	3	装甲：3(%)上昇
装甲IV	5	装甲：5(%)上昇
射撃補正	1	射撃補正：0.01上昇
射撃補正II	2	射撃補正：0.03上昇
射撃補正III	3	射撃補正：0.05上昇
索敵	1	索敵：15(m)上昇
索敵II	2	索敵：45(m)上昇
索敵III	3	索敵：75(m)上昇
ロックオン	1	ロックオン：5(m)上昇
ロックオンII	2	ロックオン：10(m)上昇
ロックオンIII	3	ロックオン：15(m)上昇
DEF回復	1	DEF回復：4(%)上昇
DEF回復II	2	DEF回復：7(%)上昇
DEF回復III	3	DEF回復：10(%)上昇
ブースター	1	ブースター：2上昇
ブースターII	3	ブースター：6上昇
ブースターIII	5	ブースター：10上昇
SP供給率	1	SP供給率：x0.03上昇
SP供給率II	3	SP供給率：x0.09上昇
SP供給率III	5	SP供給率：x0.15上昇
エリア移動	1	エリア移動：0.25(秒)減少
エリア移動II	2	エリア移動：0.50(秒)減少
エリア移動III	3	エリア移動：1.00(秒)減少
DEF耐久	1	DEF耐久：100上昇
DEF耐久II	2	DEF耐久：175上昇
DEF耐久III	3	DEF耐久：250上昇
反動吸収	1	反動吸収：3(%)上昇
反動吸収II	2	反動吸収：10(%)上昇
反動吸収III	3	反動吸収：15(%)上昇
リロード	1	リロード：x0.01減少
リロードII	3	リロード：x0.03減少
リロードIII	5	リロード：x0.05減少
武器変更	1	武器変更：2(%)上昇
武器変更II	2	武器変更：6(%)上昇
武器変更III	3	武器変更：10(%)上昇
予備弾数	1	予備弾数：2(%)上昇
予備弾数II	2	予備弾数：4(%)上昇
予備弾数III	3	予備弾数：6(%)上昇
歩行/通常移動	1	歩行速度：0.972(km/h)上昇
歩行/通常移動II	2	歩行速度：2.916(km/h)上昇
歩行/通常移動III	3	歩行速度：4.860(km/h)上昇
ダッシュ/高速移動	1	ダッシュ：1.08(km/h)上昇
ダッシュ/高速移動II	3	ダッシュ：2.16(km/h)上昇
ダッシュ/高速移動III	5	ダッシュ：3.24(km/h)上昇
加速	1	加速：0.96(秒)減少
加速II	3	加速：0.92(秒)減少
加速III	5	加速：0.89(秒)減少
重量耐性	1	重量耐性：60上昇
重量耐性II	3	重量耐性：150上昇
重量耐性III	5	重量耐性：240上昇
重量超過耐性	1	速度低下率：2割減少
重量超過耐性II	3	速度低下率：5割減少
セットボーナス強化	1	セットボーナス：2倍
セットボーナス強化II	3	セットボーナス：3倍
ブースター回復	2	-
ブースター回復II	5	-
地形ダメージ軽減	1	-
地形ダメージ軽減II	3	-
近距離ロックズーム	1	-
近距離ロックズームII	2	-
精密照準ズーム	1	-
精密照準ズームII	2	-
実弾速射	2	-
実弾速射II	4	-
実弾速射III	6	-
爆発範囲拡大	2	-
爆発範囲拡大II	4	-
爆発範囲拡大III	6	-
ニュード威力上昇	2	-
ニュード威力上昇II	4	-
ニュード威力上昇III	6	-
近接攻撃強化	2	-
近接攻撃強化II	4	-
近接攻撃強化III	6	-
対実弾防御	1	-
対実弾防御II	2	-
対実弾防御III	4	-
対実弾防御IV	6	-
対爆発防御	1	-
対爆発防御II	2	-
対爆発防御III	4	-
対爆発防御IV	6	-
対ニュード防御	1	-
対ニュード防御II	2	-
対ニュード防御III	4	-
対ニュード防御IV	6	-
対近接防御	1	-
対近接防御II	2	-
対近接防御III	4	-
対近接防御IV	6	-
頭部パーツ強化	2	-
頭部パーツ強化II	5	-
胴部パーツ強化	2	-
胴部パーツ強化II	5	-
腕部パーツ強化	2	-
腕部パーツ強化II	5	-
脚部パーツ強化	2	-
脚部パーツ強化II	5	-
強襲兵装強化	2	-
強襲兵装強化II	4	-
重火力兵装強化	2	-
重火力兵装強化II	4	-
遊撃兵装強化	2	-
遊撃兵装強化II	4	-
支援兵装強化	2	-
支援兵装強化II	4	-
継続ダッシュ強化	1	-
継続ダッシュ強化II	3	-
継続ダッシュ適性	1	-
継続ダッシュ適性II	3	-

◆アクションチップ(アクションボタン)
○名称	コスト
しゃがみ	1
しゃがみII	2
しゃがみIII	3
クイックターン	1
タックル	1
タックルII	2
タックルIII	3
ニーキック	1
ニーキックII	2
ニーキックIII	3
スピンローキック	1
スピンローキックII	2
スピンローキックIII	3
ガード	1
ガードII	2
ガードIII	3
リアインパクト	1
リアインパクトII	2
リアインパクトIII	3
クイックフォール	1
クイックフォールII	2
クイックフォールIII	3
フリップキック	1
フリップキックII	2
フリップキックIII	3
耐衝撃射撃姿勢	2
耐衝撃射撃姿勢II	3

◆アクションチップ(ダッシュボタン)
○名称	コスト
ロングタックル	1
ロングタックルII	2
ロングタックルIII	3
ジャンプキック	2
ジャンプキックII	3
ジャンプキックIII	4
スライディング	1
スライディングII	2
スライディングIII	3
クイックステップ	3
クイックステップII	4
ロングステップ	2
ガードステップ	1
ガードステップII	2
ガードステップIII	3

◆アクションチップ(ジャンプボタン)
○名称	コスト
ニースタンプ	1
ニースタンプII	2
ニースタンプIII	3
クイックジャンプ	1
クイックジャンプII	4
アフターファイアー	1
アフターファイアーII	2
アフターファイアーIII	3
DEFバースト	1
DEFバーストII	2
DEFバーストIII	3

■勲章
◆一戦系勲章
○名称	レア	条件
COMBO/銅	2	1回の出撃で、敵を3機撃破すると与えられる。
COMBO/銀	3	1回の出撃で、敵を5機撃破すると与えられる。
COMBO/金	5	1回の出撃で、敵を10機撃破すると与えられる。
白兵戦闘/銅	2	1回のバトル中に、近接戦闘武器で敵を2機撃破すると与えられる。
白兵戦闘/銀	3	1回のバトル中に、近接戦闘武器で敵を4機撃破すると与えられる。
白兵戦闘/金	5	1回のバトル中に、近接戦闘武器で敵を7機撃破すると与えられる。
クリティカルキル/銅	2	1回のバトル中に、クリティカルショットで敵を2機撃破すると与えられる。
クリティカルキル/銀	3	1回のバトル中に、クリティカルショットで敵を4機撃破すると与えられる。
クリティカルキル/金	5	1回のバトル中に、クリティカルショットで敵を7機撃破すると与えられる。
トリックスター/銅	2	1回のバトル中に、設置武器で敵を2機撃破すると与えられる。
トリックスター/銀	3	1回のバトル中に、設置武器で敵を4機撃破すると与えられる。
トリックスター/金	5	1回のバトル中に、設置武器で敵を7機撃破すると与えられる。
ターレットスキル/銅	2	1回のバトル中に、ガン・ターレットで敵を2機撃破すると与えられる。
ターレットスキル/銀	3	1回のバトル中に、ガン・ターレットで敵を4機撃破すると与えられる。
ターレットスキル/金	5	1回のバトル中に、ガン・ターレットで敵を7機撃破すると与えられる。
アンチターレット/銅	2	1回のバトル中に、敵が搭乗しているガン・ターレットを1台破壊すると与えられる。
アンチターレット/銀	3	1回のバトル中に、敵が搭乗しているガン・ターレットを2台破壊すると与えられる。
アンチターレット/金	5	1回のバトル中に、敵が搭乗しているガン・ターレットを3台破壊すると与えられる。
破壊工作/銅	2	1回のバトル中に、敵のレーダー施設または自動砲台を2基破壊すると与えられる。
破壊工作/銀	3	1回のバトル中に、敵のレーダー施設または自動砲台を4基破壊すると与えられる。
破壊工作/金	4	1回のバトル中に、敵のレーダー施設または自動砲台を7基破壊すると与えられる。
コアアタッカー	2	1回のバトル中に、敵コア攻撃で10%相当分の被害を与えると与えられる。(20pt以上24pt未満、26660～26670ダメージ相当)
コアストライカー	3	1回のバトル中に、敵コア攻撃で20%相当分の被害を与えると与えられる。(40pt以上44pt未満、53330～53340ダメージ相当)
コアブレイカー	5	1回のバトル中に、敵コア攻撃で40%相当分の被害を与えると与えられる。(84pt以上88pt未満、105000～110000ダメージ相当)
プラントゲイナー	2	1回の出撃で、プラントを3回占拠すると与えられる。（敵プラント機能停止もカウントされる）
プラントホルダー	3	1回の出撃で、プラントを5回占拠すると与えられる。（敵プラント機能停止もカウントされる）
